Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
SCL,Supply Utilization Accounts (2010-),8,Albania,5016,Loss,1214,Lettuce and chicory,2018,2018,t,1895,I,Imputed value
SCL,Supply Utilization Accounts (2010-),8,Albania,5016,Loss,1214,Lettuce and chicory,2019,2019,t,2090.88,I,Imputed value
SCL,Supply Utilization Accounts (2010-),8,Albania,5016,Loss,1214,Lettuce and chicory,2020,2020,t,2450.57,I,Imputed value
SCL,Supply Utilization Accounts (2010-),8,Albania,5510,Production,112,Maize (corn),2016,2016,t,379714,A,Official figure
SCL,Supply Utilization Accounts (2010-),8,Albania,5510,Production,112,Maize (corn),2017,2017,t,381059,A,Official figure
SCL,Supply Utilization Accounts (2010-),8,Albania,5510,Production,112,Maize (corn),2018,2018,t,391104,A,Official figure
SCL,Supply Utilization Accounts (2010-),8,Albania,5510,Production,112,Maize (corn),2019,2019,t,388951,A,Official figure
SCL,Supply Utilization Accounts (2010-),8,Albania,5510,Production,112,Maize (corn),2020,2020,t,399125,A,Official figure
SCL,Supply Utilization Accounts (2010-),8,Albania,5016,Loss,112,Maize (corn),2016,2016,t,42240,I,Imputed value
SCL,Supply Utilization Accounts (2010-),8,Albania,5016,Loss,112,Maize (corn),2017,2017,t,42384,I,Imputed value
SCL,Supply Utilization Accounts (2010-),8,Albania,5016,Loss,112,Maize (corn),2018,2018,t,43498,I,Imputed value
